"pH","Conductivity","Alkalinity","TP","SiO2","NO3","Na","K","Mg","Ca","Cl","SO4","Chla","Secchid","Maxdepth"
4,8.01308,2.68232,0.538786,1.89173,1.26654,-0.0333169,2.58659,1.899,2.66464,3.55215,2.79134,3.21365,1.51904,0.83666,1.73205
7,8.00154,2.75521,0.545783,2.22282,1.61336,0.195687,3.09499,2.38605,2.7805,3.7286,3.21531,3.28931,2.29684,0.774597,1.09545
31,8.15615,2.7013,0.601559,2.80295,1.63063,-0.0300826,2.79169,2.38337,2.58855,3.6505,2.79675,3.08332,2.43457,1.34164,1.09545
34,7.82923,2.64583,0.349651,2.66335,1.57493,0.15111,3.09316,2.16137,2.4818,3.45052,3.05269,2.99112,2.00415,0.547723,1
37,7.90769,2.57377,0.375875,2.04176,1.5084,0.746933,2.63699,1.71391,2.21285,3.53615,2.73838,2.76938,1.19201,1.48324,1.41421
42,8.24545,2.43974,0.28062,1.83229,1.36395,-0.0293996,2.58799,1.65079,2.14613,3.33425,2.68753,2.55841,2.18594,0.74162,1.30384
50,6.85462,2.61729,-0.0911027,1.99069,1.30971,0.64851,3.25072,1.86776,2.84665,3.15972,3.33905,2.93031,1.92412,0.547723,1.34164
53,7.29615,2.35685,-0.161151,2.2851,1.16559,0.109553,2.8341,1.90037,2.54002,3.02612,2.92091,2.71871,1.55364,0.632456,1.41421
57,7.67846,2.43512,0.0761081,2.52328,1.62849,0.711872,2.72016,1.79239,2.29776,3.2976,2.71181,2.65225,1.7558,1.22474,0.83666
58,7.42,2.31492,-0.23085,1.71792,0.342271,-0.129866,2.8821,1.55931,2.12548,3.0215,2.95689,2.43497,1.4221,0.83666,1.48324
65,7.61154,2.5833,0.166635,2.81043,1.20161,0.11625,3.27852,2.25888,2.6026,3.28437,3.16658,3.06436,2.36788,0.447214,1.30384
69,7.30615,2.54718,0.349053,2.2387,1.07952,-0.107905,3.05795,1.91116,2.59162,3.35583,3.07408,2.59715,2.0289,1.22474,1.76068
73,7.15,2.49743,0.0450219,2.42396,1.16779,-0.0927541,2.96743,2.10295,2.65825,3.20514,3.0249,2.93889,1.54357,0.707107,1
74,6.93308,2.42971,-0.364207,1.96673,1.32566,0.350248,2.99167,1.91116,2.56908,3.0407,3.08422,2.81006,1.38525,0.591608,1.48324
76,7.89615,2.74833,0.558062,2.01892,1.25902,0.316777,2.84042,1.86776,2.44209,3.59406,2.93588,2.80737,2.20238,0.447214,1.04881
79,7.89923,3.12291,0.569284,1.56752,0.803352,0.128846,3.90023,2.59797,3.07207,3.56018,3.93068,3.21431,1.08099,0.774597,1.54919
82,7.99231,2.62119,0.434077,2.33047,1.46811,0.0259357,2.76418,2.2266,2.49311,3.59279,2.9594,2.87636,1.49817,1.18322,1.30384
83,7.60385,2.66517,-0.0666685,1.62831,0.407195,-0.100264,3.16502,2.34143,2.8341,3.33087,3.25822,3.20911,0.856729,0.707107,0.894427
85,6.83462,2.84198,0.09691,2.01264,1.28625,0.00266438,3.46512,2.20683,3.086,3.34606,3.57089,3.28171,1.75997,0.632456,1.76068
86,7.85538,3.10749,0.853885,2.06663,1.458,-0.0674482,3.68142,2.79484,3.6218,3.45686,3.56176,3.65287,2.00415,0.948683,1.34164
98,8.13846,2.79117,0.548814,2.50408,1.41731,0.619896,3.06586,2.11227,2.64321,3.71498,3.13537,3.24619,2.70326,0.316228,1.58114
100,7.89769,2.76521,0.669388,2.46775,1.30235,0.327123,3.10149,2.30103,2.76305,3.74809,3.17326,3.31623,2.49237,0.447214,0.894427
101,7.05,2.56921,-0.171935,1.47183,0.615464,-0.162606,2.8914,1.93952,2.78104,3.68467,2.99333,3.06595,0.868056,0.894427,1
105,8.26769,2.52203,0.300361,1.65807,0.836811,0.364767,2.57978,1.716,2.42406,3.51338,2.71496,2.92064,0.951338,1.26491,1.22474
107,7.955,2.7531,0.521922,2.14522,1.38548,0.370328,2.67417,1.99012,2.92169,3.43866,2.62737,3.45977,2.05169,0.447214,1.22474
108,7.22154,2.71663,0.654917,1.80328,1.63359,0.663628,2.5977,1.6721,2.69854,3.59204,2.61066,2.87953,0.969882,0.707107,0.447214
112,7.67769,2.93853,0.439333,2.17639,0.720795,0.0205525,3.26635,2.13194,3.00934,3.86521,3.2637,3.74689,1.92179,1.04881,0.894427
113,7.91538,2.70197,0.289177,2.06096,0.726476,-0.155379,2.9035,2.19243,2.64909,3.63266,3.0589,3.38341,0.850646,1.54919,3.4641
114,7.93231,2.60816,0.253226,1.40588,0.348455,0.265181,2.70863,1.4843,2.83648,3.54208,2.82086,3.22226,1.0667,1.58114,1.48324
120,8.59077,2.7224,0.62309,2.67718,1.54979,-0.0600969,3.01199,2.01389,2.28443,3.65108,2.98125,2.97324,1.80672,0.707107,2
