"","Ca","Mg","Fe","K","Na","Si","SO4","PO4","NO3","NH3","Cl","Corg","pH","conduct","slope"
"1",7.60675,0.69085,0.96876,0.2624,0.78561,2.9459,0.2808,0.00042,0.00483,0.1764,0.13536,5.34,7.3,373,10
"2",0.2545,0.04838,0.10728,0.041728,0.271005,0.435032,0.1664,0.00063,0.00161,0.046452,0.04512,2.63,6.2,145,2
"3",5.297,0.36285,0.06678,0.048128,0.311025,0.244928,0.572,0.00084,0.02576,0.09996,0.10152,4.46,7.4,838,0
"4",7.92325,0.35547,0.01134,0.032768,0.27057,0.179424,0.4472,0.00084,0.00322,0.140532,0.10434,3.12,7.3,644,15
"5",7.097,0.44485,0.80856,0.12672,0.13398,1.688864,0.5304,0.00042,0.00322,0.077616,0.09306,4.77,6.9,552,0
"6",3.13925,0.20131,0.16164,0.036352,0.21141,0.317552,0.312,0.000105,0.00161,0.08526,0.1128,9.4,6.8,466,2
"7",2.662,0.21812,0.83736,0.04992,0.44109,0.744752,0.3848,0.000315,0.00161,0.07056,0.0282,8.97,7.3,560,4
"8",8.3505,0.57851,0.8037,0.157696,0.488505,1.894276,0.676,0.00084,0.05796,0.097608,0.10998,10.05,7.3,434,3
"9",6.423,0.1599,0.85428,0.107264,0.42456,0.46458,0.3016,0.00189,0.01288,0.094668,0.10716,5,5.8,38,10
"10",8.00125,0.88519,0.00126,0.095744,0.407595,0.235316,0.26,0.00063,0.00483,0.140532,0.12408,2.88,8.5,409,7
"11",8.05875,0.85772,0.01908,0.062976,0.306675,0.304736,0.0728,0.00105,0.00644,0.27342,0.1269,8.23,7.9,590,2
"12",7.9115,0.19598,0.29052,0.143872,0.42021,0.362764,0.468,0.00084,0.02576,0.089964,0.13536,6.01,7.4,503,0
"13",6.875,0.55514,0.87264,0.06528,0.468495,1.038452,1.3728,0.00021,0.00161,0.104664,0.06768,7.06,6.8,522,2
"14",4.779,0.46002,0.90432,0.061184,0.71514,0.606268,0.6864,0.000525,0.00322,0.108192,0.03384,8.76,6.9,580,0
"15",7.97225,0.34891,0.855,0.066304,0.14355,0.80278,0.3224,0.000315,0.00161,0.09996,0.25944,5,7.2,481,10
"16",0.0915,0.02665,0.47628,0.045568,0.07656,0.207192,0.2808,0.00105,0.02898,0.283416,0.00282,1.37,8.6,456,2
"17",3.546,0.42558,0.1737,0.048384,0.17313,0.276256,0.0728,0.000525,0.00805,0.227556,0.11562,8.95,6.8,484,0
"18",8.0505,0.51291,0.12636,0.019968,0.045675,0.262016,0.2496,0.00042,0.00483,0.259896,0.10998,5.5,8.1,484,1
"19",0.126,0.04674,0.57078,0.026368,0.060465,0.203632,0.1144,0.000105,0.0161,0.248724,0.20304,28.26,7.1,143,5
"20",0.57,0.06601,0.48276,0.08576,0.19314,0.562836,0.312,0.000105,0.00161,0.036456,0.08742,7.3,5.4,58,2
"21",1.64175,0.13038,0.42228,0.038656,0.259695,0.18156,0.0312,0.00042,0.00161,0.032928,0.07614,11.57,7.2,414,1
"22",1.5465,0.09553,0.76752,0.094976,0.62292,0.301176,0.0728,0.000105,0.00161,0.107016,0.13254,26.67,7.2,300,1
"23",1.71475,0.19352,2.70324,0.065536,0.265785,0.502316,0.052,0.005775,0.00161,0.13818,0.3525,19.56,6.8,335,0
"24",1.988,0.14063,1.5903,0.059392,0.50199,0.636172,0.0832,0.0021,0.00161,0.059976,0.14946,14.24,7,344,0
"25",1.366,0.14145,1.18458,0.020992,0.11919,0.445712,0.052,0.000105,0.00161,0.071736,0.1269,5.59,7,400,0
"26",0.333,0.04756,0.1152,0.148224,0.096135,0.697048,0.6552,0.005775,0.04508,0.24402,0.32148,24.47,5.5,53,1
"27",2.625,0.56129,0.1314,0.194048,0.48633,1.620868,1.04,0.00126,0.00322,0.045864,0.2538,4.73,7.5,498,6
"28",0.68175,0.05207,2.0592,0.043264,0.08178,0.435032,0.1248,0.00021,0.01288,0.301056,0.1974,9.16,5.8,55,3
"29",1.95275,0.14432,0.36342,0.114432,0.28362,0.435032,0.0936,0.00231,0.00483,0.065856,0.09024,21.06,7.1,279,1
"30",0.08975,0.0164,1.56618,0.015872,0.008265,0.09968,0.1248,0.00063,0.00161,0.103488,0.12972,18.72,6.5,102,3
"31",0.396,0.03854,2.98134,0.030208,0.050025,0.315772,0.2704,0.000945,0.01449,0.2499,0.54708,14.55,6.1,111,5
"32",1.167,0.08856,0.55854,0.08704,0.254475,0.212176,0.0728,0.000525,0.00483,0.087024,0.1692,14.62,6.8,310,5
"33",0.16675,0.02378,0.03222,0.037376,0.07221,0.323248,0.1872,0.000315,0.01288,0.118188,0.13536,15.56,6.9,32,2
"34",0.16675,0.02378,0.03222,0.037376,0.07221,0.323248,0.1872,0.000315,0.01288,0.118188,0.13536,8.46,6,75,3
"35",0.165,0.01968,0.15786,0.12672,0.05394,0.100748,0.1144,0.00168,0.01932,0.168168,0.18894,23.56,7.8,364,1
"36",0.25025,0.04182,0.20412,0.040704,0.190965,0.305448,0.4368,0.00693,0.04347,0.35868,0.30456,18.88,6.7,328,1
"37",2.36225,0.17097,0.35154,0.032,0.34452,0.4005,0.3952,0.00042,0.00483,0.04704,0.04794,6.95,6.2,215,2
"38",6.168,0.75317,0.83988,0.105728,0.662505,1.898192,0.3016,0.00042,0.00483,0.21462,0.09306,4.49,7.1,533,2
"39",2.05025,0.30545,0.81378,0.211712,1.930965,1.111432,0.4888,0.00063,0.02254,0.06762,0.0987,16,7.4,648,2
"40",2.60475,0.46412,0.8676,0.114176,0.521565,1.867576,0.1872,0.000525,0.00161,0.087024,0.09024,13.81,6.5,96,2
"41",1.13125,0.07954,1.02564,0.052992,0.28623,1.367752,0.2704,0.00126,0.05635,0.301056,0.58938,11.03,7.7,508,0
"42",0.257,0.08282,0.80442,0.052736,0.186615,0.202564,0.4056,0.000105,0.00966,0.115248,0.24534,7.65,6,60,4
"43",0.0895,0.02091,0.03024,0.025088,0.04698,0.095052,0.208,0.000945,0.00966,0.101724,0.07896,25,4.7,33,3
"44",0.09975,0.03444,1.12896,0.023296,0.03306,0.205056,0.156,0.00084,0.01288,0.301644,0.1833,23.85,4.8,26,2
"45",0.06925,0.01599,1.27998,0.02048,0.024795,0.344608,0.1456,0.001575,0.01288,0.228732,0.00282,16.24,5.6,58,2
"46",0.07475,0.01599,0.1575,0.024832,0.059595,0.316484,0.1144,0.000525,0.00483,0.092316,0.10434,6.67,4.8,30,2
"47",0.32275,0.03567,1.99566,0.09472,0.086565,0.431472,0.3016,0.001785,0.01449,0.226968,0.25098,14.1,5.3,55,0
"48",7.97225,0.34891,0.855,0.066304,0.14355,0.80278,0.3224,0.000315,0.00161,0.09996,0.25944,4.14,8.8,360,3
"49",0.1335,0.01271,0.39168,0.019968,0.008265,0.438592,0.1248,0.00063,0.01449,0.250488,0.16638,28.57,5.2,20,1
"50",0.23875,0.01927,0.0639,0.006144,0.04611,0.312568,0.4056,0.001155,0.00161,0.100548,0.0564,28.7,5.1,28,2
"51",4.3475,0.65559,0.73566,0.049152,0.23925,0.239588,0.0208,0.001575,0.00161,0.07938,0.08742,4.14,7.7,526,3
"52",7.14625,0.58097,0.79866,0.105472,0.78213,0.652548,0.4992,0.001155,0.00161,0.072324,0.07614,3.57,7.6,530,2
"53",6.55575,0.44567,0.3366,0.050944,0.72558,0.288004,0.5616,0.000525,0.00322,0.103488,1.47204,2.85,7.1,690,2
"54",2.71625,0.41041,0.74052,0.10112,0.53418,0.957284,0.156,0.000315,0.00161,0.104664,0.09024,6.16,7,470,5
"55",0.67275,0.06027,0.69192,0.041472,0.20967,1.268784,0.0832,0.00042,0.00483,0.401604,0.00282,10.45,5.8,131,0
"56",0.86225,0.09266,0.72954,0.019456,0.15399,0.349236,0.26,0.000105,0.00161,0.0882,0.05358,6.25,6.6,200,0
"57",2.31925,0.23206,0.83646,0.120832,0.929595,0.42898,0.0104,0.00126,0.00805,0.072324,0.20868,4.18,7.2,591,15
"58",1.972,0.28905,0.3771,0.12032,0.71514,0.631188,0.4368,0.001365,0.00322,0.091728,0.09024,15.65,7.1,480,2
"59",1.952,0.37884,0.03114,0.024064,0.184005,0.195444,0.6448,0.00063,0.07084,0.024696,0.12126,5.75,7.2,422,7
"60",7.27375,0.4551,0.55854,0.06912,0.33843,0.667144,0.3536,0.000105,0.00322,0.144648,0.05358,3.6,8.2,470,5
"61",7.46275,0.60639,0.74718,0.11648,0.493725,1.064796,1.352,0.000525,0.00483,0.15876,0.09024,4.48,7.7,709,5
"62",1.726,0.09307,2.86218,0.051456,0.377145,0.413316,0.0832,0.0063,0.00322,0.134652,0.24816,14.73,6.5,250,0
"63",4.491,0.15334,1.55826,0.2368,0.68208,1.245644,0.0416,0.000525,0.00161,0.098784,0.00282,8.59,7,395,1
"64",0.47975,0.04633,0.31608,0.039424,0.10266,0.208616,0.208,0.00105,0.0161,0.800856,0.15792,20.24,5.9,104,0
"65",6.84625,0.43788,0.68652,0.085504,0.320595,0.985408,0.4784,0.000735,0.03864,0.066444,0.1833,6.09,8.1,472,2
"66",4.33925,0.86633,0.78336,0.265728,1.592535,1.1837,0.052,0.001995,0.00483,0.15288,0.09306,3.67,7.7,420,7
"67",3.15975,0.65928,0.83898,0.242176,0.519825,2.60414,0.2288,0.00063,0.00161,0.07644,0.06486,11.57,3.8,25,1
"68",0.15025,0.03608,0.84276,0.081152,0.083085,0.702388,0.26,0.00126,0.01288,0.219912,0.16638,13.03,6.5,60,3
"69",0.554,0.07872,0.36648,0.036096,0.104835,0.455324,0.1456,0.00042,0.00161,0.06174,0.01692,4.97,6.6,383,2
"70",3.094,0.43624,0.5517,0.1088,0.29406,0.963336,0.2392,0.000525,0.00161,0.057036,0.10716,1.26,6.5,78,2
