species,var1,var2,var3,var4,var5,var6,var7
pubescens,140,86,53.6,41,72,35,9
pubescens,141,87,59.6,70,53,28,8
pubescens,184,91,59.2,35,56,29,7
pubescens,183,100,58.5,36,57,27,9
pubescens,166,93,63.3,42,36,29,5
pubescens,139,90,58.3,48,70,31,15
pubescens,174,83,65.5,35,68,28,8
pubescens,175,101,59.4,40,90,35,15
pubescens,155,98,56.8,41,58,35,8
pubescens,185,103,53,33,78,35,14
pubescens,175,95,50.9,35,69,31,9
pubescens,185,93,62.7,42,51,28,4
pubescens,204,146,63.7,64,78,33,19
pubescens,215,129,65.1,50,88,30,21
pubescens,230,123,63,58,65,25,10
pubescens,220,118,60.6,45,70,25,6
pubescens,218,112,62.9,48,55,22,11
pubescens,222,124,63.5,44,59,30,13
pubescens,214,99,69.2,40,68,23,15
pubescens,190,118,63.2,43,74,40,11
pubescens,182,122,59.3,46,90,38,19
pubescens,171,116,60.2,56,55,34,4
pubescens,161,122,56.5,50,82,43,16
pubescens,177,112,53.7,53,53,46,7
pubescens,173,130,56.1,56,62,38,11
pubescens,162,126,58,51,79,40,11
pubescens,164,122,62.8,58,61,35,7
pubescens,179,93,68.7,55,58,26,7
pubescens,178,109,59,46,56,36,6
pubescens,172,108,60.5,48,70,36,12
pubescens,174,107,56.9,55,68,29,8
pubescens,202,117,56.4,39,70,26,8
pubescens,182,105,54.4,43,73,26,8
pubescens,220,113,62.2,46,55,25,5
pubescens,223,116,57.8,50,82,26,10
pubescens,202,112,58.4,39,64,29,3
pubescens,203,119,59.1,40,55,34,4
pubescens,218,109,56,43,79,35,3
pubescens,202,116,57.4,46,60,30,5
pubescens,209,117,60.3,46,77,27,7
nana,159,117,44.7,40,90,43,32
nana,164,115,50.6,47,90,35,25
nana,182,121,46.2,40,90,34,43
nana,185,109,49.7,43,91,29,35
nana,146,111,51.4,50,90,38,30
nana,166,122,42.8,40,90,45,23
nana,182,105,46.2,45,105,29,17
nana,151,102,55,54,87,36,20
nana,188,126,50.5,43,92,39,30
nana,158,104,53.2,51,85,30,41
nana,170,89,54.1,45,90,33,22
nana,152,98,52,53,85,30,20
nana,152,115,49.3,51,90,50,24
nana,166,91,50.6,43,112,29,22
nana,173,92,59,36,95,31,15
nana,149,101,50.3,43,100,44,22
nana,165,115,36.4,55,89,45,30
nana,164,98,41.5,41,87,58,13
nana,159,98,67.3,68,110,30,26
nana,154,107,50,54,105,37,30
nana,162,91,60.5,44,90,42,41
nana,178,108,55.1,41,90,31,41
nana,178,114,57.9,48,89,21,32
nana,167,107,46.7,41,110,35,54
nana,155,102,45.8,42,102,38,56
nana,172,115,55.2,50,90,28,44
nana,181,100,57.5,46,115,38,46
nana,158,99,48.1,38,110,42,33
nana,125,91,57.6,49,91,34,39
nana,122,85,47.6,43,102,45,25
nana,122,82,48.4,48,90,48,22
nana,122,82,62.3,47,77,60,16
nana,117,76,52.1,43,85,52,32
nana,125,85,58.4,50,87,20,38
nana,128,84,54.7,50,97,35,41
nana,138,80,51.5,52,107,42,34
nana,144,90,66.7,63,93,44,18
nana,124,88,58.1,45,90,29,35
nana,167,112,57.5,45,90,32,32
nana,173,124,47.4,58,90,50,21
nana,162,113,45.1,47,109,46,26
nana,151,107,46.4,48,97,40,23
nana,128,111,51.6,61,94,38,36
nana,141,106,57.4,51,101,28,30
nana,113,130,33.6,57,143,48,55
nana,130,125,53.8,60,98,45,30
nana,142,116,64.1,63,103,36,25
nana,121,116,52.9,64,90,44,35
nana,184,128,45.1,46,91,40,25
nana,174,113,56.9,43,105,32,29
