"","mowing","fertilizer","removal","year","plotid"
"r94p1","Yes","No","Yes","1994","01"
"r94p2","No","No","No","1994","02"
"r94p3","Yes","Yes","Yes","1994","03"
"r94p4","No","Yes","No","1994","04"
"r94p5","No","No","Yes","1994","05"
"r94p6","Yes","No","No","1994","06"
"r94p7","No","Yes","Yes","1994","07"
"r94p8","Yes","Yes","No","1994","08"
"r94p9","Yes","Yes","No","1994","09"
"r94p10","No","Yes","Yes","1994","10"
"r94p11","Yes","No","No","1994","11"
"r94p12","No","No","Yes","1994","12"
"r94p13","No","Yes","No","1994","13"
"r94p14","Yes","Yes","Yes","1994","14"
"r94p15","No","No","No","1994","15"
"r94p16","Yes","No","Yes","1994","16"
"r94p17","No","No","Yes","1994","17"
"r94p18","Yes","Yes","No","1994","18"
"r94p19","No","Yes","Yes","1994","19"
"r94p20","Yes","No","No","1994","20"
"r94p21","Yes","No","Yes","1994","21"
"r94p22","No","Yes","No","1994","22"
"r94p23","Yes","Yes","Yes","1994","23"
"r94p24","No","No","No","1994","24"
"r95p1","Yes","No","Yes","1995","01"
"r95p2","No","No","No","1995","02"
"r95p3","Yes","Yes","Yes","1995","03"
"r95p4","No","Yes","No","1995","04"
"r95p5","No","No","Yes","1995","05"
"r95p6","Yes","No","No","1995","06"
"r95p7","No","Yes","Yes","1995","07"
"r95p8","Yes","Yes","No","1995","08"
"r95p9","Yes","Yes","No","1995","09"
"r95p10","No","Yes","Yes","1995","10"
"r95p11","Yes","No","No","1995","11"
"r95p12","No","No","Yes","1995","12"
"r95p13","No","Yes","No","1995","13"
"r95p14","Yes","Yes","Yes","1995","14"
"r95p15","No","No","No","1995","15"
"r95p16","Yes","No","Yes","1995","16"
"r95p17","No","No","Yes","1995","17"
"r95p18","Yes","Yes","No","1995","18"
"r95p19","No","Yes","Yes","1995","19"
"r95p20","Yes","No","No","1995","20"
"r95p21","Yes","No","Yes","1995","21"
"r95p22","No","Yes","No","1995","22"
"r95p23","Yes","Yes","Yes","1995","23"
"r95p24","No","No","No","1995","24"
"r96p1","Yes","No","Yes","1996","01"
"r96p2","No","No","No","1996","02"
"r96p3","Yes","Yes","Yes","1996","03"
"r96p4","No","Yes","No","1996","04"
"r96p5","No","No","Yes","1996","05"
"r96p6","Yes","No","No","1996","06"
"r96p7","No","Yes","Yes","1996","07"
"r96p8","Yes","Yes","No","1996","08"
"r96p9","Yes","Yes","No","1996","09"
"r96p10","No","Yes","Yes","1996","10"
"r96p11","Yes","No","No","1996","11"
"r96p12","No","No","Yes","1996","12"
"r96p13","No","Yes","No","1996","13"
"r96p14","Yes","Yes","Yes","1996","14"
"r96p15","No","No","No","1996","15"
"r96p16","Yes","No","Yes","1996","16"
"r96p17","No","No","Yes","1996","17"
"r96p18","Yes","Yes","No","1996","18"
"r96p19","No","Yes","Yes","1996","19"
"r96p20","Yes","No","No","1996","20"
"r96p21","Yes","No","Yes","1996","21"
"r96p22","No","Yes","No","1996","22"
"r96p23","Yes","Yes","Yes","1996","23"
"r96p24","No","No","No","1996","24"
"r97p1","Yes","No","Yes","1997","01"
"r97p2","No","No","No","1997","02"
"r97p3","Yes","Yes","Yes","1997","03"
"r97p4","No","Yes","No","1997","04"
"r97p5","No","No","Yes","1997","05"
"r97p6","Yes","No","No","1997","06"
"r97p7","No","Yes","Yes","1997","07"
"r97p8","Yes","Yes","No","1997","08"
"r97p9","Yes","Yes","No","1997","09"
"r97p10","No","Yes","Yes","1997","10"
"r97p11","Yes","No","No","1997","11"
"r97p12","No","No","Yes","1997","12"
"r97p13","No","Yes","No","1997","13"
"r97p14","Yes","Yes","Yes","1997","14"
"r97p15","No","No","No","1997","15"
"r97p16","Yes","No","Yes","1997","16"
"r97p17","No","No","Yes","1997","17"
"r97p18","Yes","Yes","No","1997","18"
"r97p19","No","Yes","Yes","1997","19"
"r97p20","Yes","No","No","1997","20"
"r97p21","Yes","No","Yes","1997","21"
"r97p22","No","Yes","No","1997","22"
"r97p23","Yes","Yes","Yes","1997","23"
"r97p24","No","No","No","1997","24"
